sensor_id,Y,X,TYPE,OBJECT_ID,Exhibit,Tag_Number,Order,Family,Species,Common_Name,Area_of_Origin_Distribution,Comments,image_url,start_DBH,end_DBH,dbh_diff
92243501,25.7228438,-80.2800038,DENDROMETER,466,14. Maya Cocoa Garden,53,Sapindales,Meliaceae,Swietenia macrophylla,Big Leaf Mahogany,"Mexico, Central America, northern South America",Very large tropical tree with large buttress. Harvested extensively for the fine dark wood used for furniture the tree is now endangered and protected in its native areas.,https://danielaggwm.github.io/arboretum/Images/92243501/1.jpeg,53.5,55.33,1.83
92243502,25.7233027,-80.2802447,DENDROMETER,411,13. What is a Tree?,43,Sapindales,Meliaceae,Swietenia mahagoni,Caribbean Mahogany,South Florida and the Caribbean,Medium to large tree whose wood was first used to build ships and later to make furniture and musical instruments. Protected in the wild.,https://danielaggwm.github.io/arboretum/Images/92243502/1.jpeg,78.5,79.41,0.91
92243503,25.7232236,-80.2802761,DENDROMETER,410,13. What is a Tree?,42,Sapindales,Meliaceae,Swietenia mahagoni,Caribbean Mahogany,South Florida and the Caribbean,Medium to large tree whose wood was first used to build ships and later to make furniture and musical instruments. Protected in the wild.,https://danielaggwm.github.io/arboretum/Images/92243503/1.jpeg,77.0,78.99,1.99
92243504,25.7234761,-80.2802957,DENDROMETER,85,2. Euphorbiaceae & other Malpighiales,103,Sapindales,Meliaceae,Swietenia mahagoni,Caribbean Mahogany,South Florida and Caribbean,Medium to large tree whose wood was first used to build ships and later to make furniture and musical instruments. Protected in the wild.,https://danielaggwm.github.io/arboretum/Images/92243504/1.jpeg,70.5,73.06,2.56
92243505,25.7231894,-80.2803939,DENDROMETER,345,12. South Florida Natives,55,Fagales,Fagaceae,Quercus virginiana,Live Oak,Southeastern United States,"Native to the temperate areas of the eastern United States, this wind-pollinated species has migrated south into Florida where it grows to be a very large and stately tree that provides food and shelter to many species of birds. Commonly known as Southern live oak, its acorns are also an important food for squirrels, bear and deer. Although the wood is very hard and durable, it is difficult to work and other species of oak are more commonly used for timber and furniture.",https://danielaggwm.github.io/arboretum/Images/92243505/1.jpeg,62.5,62.87,0.37
92243506,25.7231989,-80.2804568,DENDROMETER,346,12. South Florida Natives,56,Fagales,Fagaceae,Quercus virginiana,Live Oak,Southeastern United States,"Native to the temperate areas of the eastern United States, this wind-pollinated species has migrated south into Florida where it grows to be a very large and stately tree that provides food and shelter to many species of birds. Commonly known as Southern live oak, its acorns are also an important food for squirrels, bear and deer. Although the wood is very hard and durable, it is difficult to work and other species of oak are more commonly used for timber and furniture.",https://danielaggwm.github.io/arboretum/Images/92243506/1.jpeg,111.5,112.07,0.57
92243507,25.7235185,-80.2806309,DENDROMETER,350,12. South Florida Natives,60,Fagales,Fagaceae,Quercus virginiana,Live Oak,Southeastern United States,"Native to the temperate areas of the eastern United States, this wind-pollinated species has migrated south into Florida where it grows to be a very large and stately tree that provides food and shelter to many species of birds. Commonly known as Southern live oak, its acorns are also an important food for squirrels, bear and deer. Although the wood is very hard and durable, it is difficult to work and other species of oak are more commonly used for timber and furniture.",https://danielaggwm.github.io/arboretum/Images/92243507/1.jpeg,31.0,31.44,0.44
92243508,25.7233168,-80.2807016,DENDROMETER,300,12. South Florida Natives,10,Sapindales,Burseraceae,Bursera simaruba,Gumbo-Limbo,"Florida, Caribbean, Central and South America","Bursera simaruba is a large tree found throughout South Florida, the Caribbean and Central America.   It grows naturally in dense hammocks where it produces a columnar tree that can reach 60 feet tall. However, when planted in open areas it will also produce a large open crown.  Its smooth shiny bark with a coppery to red color peels in thin layers on the thick trunk and branches and this reddish-colored peeling is the reason for its common name of ""tourist tree"" as it resembles a bad sunburn.  Inconspicuous green flowers appear in the spring followed by small fleshy red fruit that takes nearly a year to ripen.  Birds and squirrels eat the fruit. It is briefly deciduous in early spring, but the leaves are quickly replaced with new growth. Although some believe that trees produced from seed are preferable, branches planted in the ground will root easily. Gumbo LImbo has been used for living fence posts and wind protection, and its soft, lightweight wood is easily carved peeling. It was used to make carousel horses before the advent of molded plastics. The resinous wood is also used as incense, and its resin has been used to make glue and varnish. It had various uses in traditional medicine and its leaves were brewed into a medicinal tea.",https://danielaggwm.github.io/arboretum/Images/92243508/1.jpeg,41.8,43.0,1.2
92243509,25.7241743,-80.2800404,DENDROMETER,135,5. Sapotaceae and other Ericales,101,Sapindales,Meliaceae,Cedrela odorata,"Cedro, Spanish Cedar",Central and South America and the Caribbean,Most commercially important species of the genus. Wood soft but used for building and  furniture due to its resistance to termites and rot. Wood aromatic and used for cigar boxes and guitar necks. Invasive in the Galapagos Islands.,https://danielaggwm.github.io/arboretum/Images/92243509/1.jpeg,45.4,46.78,1.38
92243510,25.7241519,-80.280064,DENDROMETER,139,5. Sapotaceae and other Ericales,105,Sapindales,Meliaceae,Khaya senegalensis,"African Mahogany, Dryzone Mahogany",Western Tropical Africa to Uganda,Used as a street tree. Wood is used for carpentary. Has medicinal values.,https://danielaggwm.github.io/arboretum/Images/92243510/1.jpeg,69.4,71.46,2.06
