sensor_id,Y,X,TYPE,OBJECT_ID,Exhibit,Tag_Number,Order,Family,Species,Common_Name,Area_of_Origin_Distribution,Comments
95321211,25.72282,-80.27989,TMS,437,14. Maya Cocoa Garden,24,Arecales,Arecaceae,Cocos nucifera,Coconut palm,Pantropical (Naturalized),"Origin unknown, but likely S. Pacific. Can survive transportation by ocean currents because nuts float and salt water does not kill embryos, but main distribution has been done by humans. Used by mankind for many centuries, this species continues to be of great economic importance today."
95321212,25.72316,-80.2801,TMS,399,13. What is a Tree?,31,Gentianales,Rubiaceae,Morinda citrifolia,Noni,"India, Southeast Asia to Australia","A highly adaptable species that produces flowers and fruit throughout the year. Because the fruit have an unpleasant, pungent smell and bitter taste, they are sometimes called cheese fruit or vomit fruit, and are considered famine food. Nevertheless they are eaten by some in SE Asia and aboriginal Australians. The seeds are also eaten if roasted. However, the fruit is considered by some to have medicinal uses due to the phytochemicals it contains. However, there is little scientific evidence as yet to support these claims."
95321213,25.7232,-80.28037,TMS,393,13. What is a Tree?,25,Zingiberales,Heliconiaceae,Heliconia bihai x Caribaea cv. Criswick,Criswick Heliconia,Only in cultivation,"Native to tropical rainforests and wet forests, Heliconias have been spread throughout the tropical and subtropical world because of their ornamental beauty. They dislike being cold or dry, and their leaves become tattered from wind. Old leaves also turn brown and need to be removed if aesthetics are a concern. Ranging from 2 to 15 feet in height and hybridizing easily, they are all characterized by blade like leaves and the production of colorful panicles of bracts from which small flowers emerge. The flowers are primarily pollinated by hummingbirds seeking their nectar and the panicles of bracts can be erect or hanging, Fruit are dark blue to purple and primarily bird dispersed. This hydrid features species from northern South America and Central America that produces an erect panicle that is vividly colored orange and yellow."
95321214,25.72351,-80.28062,TMS,348,12. South Florida Natives,58,Fagales,Fagaceae,Quercus virginiana,Live oak,Southeastern United States,"Native to the temperate areas of the eastern United States, this wind-pollinated species has migrated south into Florida where it grows to be a very large and stately tree that provides food and shelter to many species of birds. Commonly known as Southern live oak, its acorns are also an important food for squirrels, bear and deer. Although the wood is very hard and durable, it is difficult to work and other species of oak are more commonly used for timber and furniture."
95321215,25.72376,-80.28026,TMS,110,4. Moraceae & other Rosales,100,Sapindales,Sapindaceae,Blighia sapida,Akee,West Africa,National dish of Jamaica when cooked and combined with salted fish. Cooked fruit is not sweet and is commonly compared to scrambled eggs. Fruit poisonous without proper processing and preparation.
95321216,25.72401,-80.28025,TMS,104,4. Moraceae & other Rosales,6,Rosales,Moraceae,Ficus aspera parcellii,Clown Fig,Only in cultivation; wild type from Vanuatu,"Variegated leaves and smaller size characterize this Ficus.Like other members of fig family, inflorescence is involuted so flowers are inside."
95321217,25.7241,-80.28007,TMS,141,5. Sapotaceae and other Ericales,107,Lamiales,Oleaceae,Noronhia emarginata,Madagascar olive,Madagascar,Flowers are inconspicuous but fragrant. The fruit when ripe is edible and has a sweet taste. Used as a street tree.
95321219,25.72456,-80.27954,TMS,202,7. Bignoniaceae,107,Lamiales,Lamiaceae,Vitex sp.,"Chaste tree, vitex",Tropics and subtropics,"Although the epitaphs Chaste Tree or Monk’s Pepper are used primarily to refer to Vitex agnus-castus, some believe that all Vitex species contain compounds that have effects on hormonal levels and act as an anaphrodisiac by lowering sexual desire. While this idea has been around for centuries, the Mayo Clinic states that there is no scientific evidence of this. 

Women celebrating the ancient Greek festival honoring Demeter, the goddess of agriculture and fertility, wore Chaste Tree blossoms as adornment. In ancient Rome, virgins carried twigs as a symbol of chastity. Medieval monks used potions of the berries to help maintain their vows of chastity.  The fruit of this tree has also been used as an herbal remedy for gynecological problems and PMS, and to increase milk production in new mothers.
"
95321220,25.72432,-80.27947,TMS,218,8. Myrtales,101,Ranunculales,Menispermaceae,Cocculus laurifolius,Laurel-leaved Cocculus,Indian subcontinent to Japan and Philippines,NA
95321221,25.72296,-80.28031,TMS,4,1. Arecaceae,4,Arecales,Arecaceae,Bismarckia nobilis,Bismarck Palm,Madagascar,"Sole species in the genus. Solitary, stout trunk with gray to tan color and ringed indentations at old leaf bases. Large, costapalmate leaves range from bluish gray to greenish gray. Tolerates some frost. Grow in full sun."
