SENSOR ID,Y,X
92243501,25.7228438,-80.2800038
92243502,25.7233027,-80.2802447
92243503,25.7232236,-80.2802761
92243504,25.7234761,-80.2802957
92243505,25.7231894,-80.2803939
92243506,25.7231989,-80.2804568
92243507,25.7235185,-80.2806309
92243508,25.7233168,-80.2807016
92243509,25.7241743,-80.2800404
92243510,25.7241519,-80.280064
92243511,25.724093,-80.2802028
92243512,25.7243796,-80.2796778
92243513,25.7240387,-80.2795167
92243514,25.7239302,-80.2795992
92243515,25.7239243,-80.2797563
92243516,25.7238228,-80.2798375
92243517,25.7239042,-80.2798925
92243518,25.7237627,-80.2798519
92243519,25.723719,-80.2800103
92243520,25.7235398,-80.2801504
92243521,25.7227943,-80.2799278
92243522,25.7228863,-80.2799763
92243523,25.7230927,-80.2800666
92243524,25.723193,-80.2801753
92243525,25.7230149,-80.2805039
92243526,25.7236105,-80.2802879
92243527,25.7238099,-80.2804489
92243528,25.7237497,-80.2802669
92243529,25.723699,-80.2803992
92243530,25.7236542,-80.2804306
92243531,25.7239148,-80.2801962
92243532,25.7240776,-80.2801006
92243533,25.7239986,-80.280064
92243534,25.7242097,-80.2799736
92243535,25.7241236,-80.2798741
92243536,25.7242569,-80.2798846
92243537,25.7243784,-80.2796123
92243538,25.7243843,-80.2793936
92243539,25.7242958,-80.2794408
92243540,25.7242251,-80.2795324
