SENSOR ID,Y,X
95321211,25.72282,-80.27989
95321212,25.72316,-80.2801
95321213,25.7232,-80.28037
95321214,25.72351,-80.28062
95321215,25.72376,-80.28026
95321216,25.72401,-80.28025
95321217,25.7241,-80.28007
95321219,25.72456,-80.27954
95321220,25.72432,-80.27947
95321221,25.72296,-80.28031
95321222,25.72342,-80.28016
95321224,25.72395,-80.27983
95321226,25.723806,-80.280056
95321227,25.72358,-80.2803
95321228,25.723694,-80.280139
95321229,25.723611,-80.279944
95321230,25.72301,-80.2799
