"OBJECTID","Y","X"
1,25.72299962,-80.28024699
2,25.72297656,-80.28008957
3,25.72288713,-80.28022314
5,25.72296593,-80.28048649
6,25.72294194,-80.2802416
7,25.72299555,-80.28034068
8,25.72307254,-80.2802698
9,25.72302081,-80.28047967
10,25.72303114,-80.28049049
11,25.72316882,-80.28047776
12,25.72291167,-80.28026655
13,25.72309986,-80.28045351
14,25.72307258,-80.28046293
15,25.72297706,-80.28038412
16,25.72305468,-80.28007803
17,25.72311516,-80.28048689
18,25.72296236,-80.28017934
19,25.72299967,-80.28020273
20,25.72302704,-80.28045421
21,25.72301633,-80.28040927
22,25.72298996,-80.28013676
23,25.72306834,-80.28042878
24,25.72290987,-80.28018049
25,25.7229125,-80.28021544
26,25.72297884,-80.2802617
27,25.72293854,-80.28037121
28,25.72301635,-80.28078286
29,25.72293159,-80.2801491
30,25.72291783,-80.28012176
31,25.72294862,-80.28011082
32,25.72314333,-80.28045355
33,25.72305415,-80.28033154
34,25.72305805,-80.28037738
35,25.72309835,-80.28033265
36,25.72310836,-80.28041383
37,25.72301497,-80.28029563
38,25.72297438,-80.28043976
39,25.723131,-80.28035232
40,25.72306568,-80.28050179
41,25.72306354,-80.28015052
42,25.72308584,-80.28036389
43,25.72300754,-80.28036891
44,25.72301289,-80.28033304
47,25.72294936,-80.28041323
48,25.72290014,-80.28014499
49,25.7229591,-80.28009133
50,25.72292603,-80.28032147
51,25.72299298,-80.28008562
52,25.72302081,-80.28007907
53,25.72298301,-80.28056032
54,25.72300302,-80.28050726
55,25.72298634,-80.2805159
56,25.72299524,-80.28070593
57,25.72292118,-80.28028609
58,25.72295988,-80.2801086
60,25.72365194,-80.28028687
61,25.72359075,-80.28040454
62,25.72360783,-80.28014393
63,25.72360142,-80.28018263
64,25.72344845,-80.28025923
65,25.72350751,-80.28027345
66,25.72349612,-80.28026871
67,25.72336735,-80.28031293
68,25.7235068,-80.28023712
69,25.72357239,-80.28034105
70,25.7233645,-80.28012892
71,25.72344632,-80.28015972
72,25.72338061,-80.28018484
73,25.72337023,-80.28015798
74,25.72362419,-80.28023712
75,25.7234577,-80.2803082
77,25.723637,-80.28032083
78,25.72357937,-80.28037059
79,25.72347265,-80.28019921
80,25.72359573,-80.28032083
81,25.72340932,-80.28031688
82,25.72366475,-80.28021895
84,25.72347478,-80.28031925
86,25.723637,-80.28055776
87,25.72372807,-80.28043771
88,25.72368396,-80.28053485
90,25.72377218,-80.28037295
91,25.72370403,-80.28049867
92,25.72359787,-80.28045114
93,25.72363273,-80.28037611
94,25.72367826,-80.28048273
96,25.72362561,-80.28043061
97,25.72364523,-80.28058513
98,25.72362704,-80.28039981
99,25.72406246,-80.28025686
100,25.72381345,-80.28053169
102,25.72373234,-80.28031925
103,25.72395645,-80.28036032
105,25.72384404,-80.28039823
106,25.72386111,-80.28034216
107,25.72389455,-80.28043456
108,25.72391732,-80.28027898
109,25.72387321,-80.28026792
111,25.72389242,-80.28037296
112,25.72391874,-80.28035716
113,25.72388388,-80.28040297
114,25.72370459,-80.28027266
115,25.72377218,-80.28023475
116,25.7237985,-80.28031767
117,25.72371953,-80.28020079
118,25.72407527,-80.27999309
119,25.72408808,-80.27996545
120,25.72410231,-80.2799994
121,25.72406033,-80.27995755
122,25.72408737,-80.27993228
123,25.72401195,-80.27997413
124,25.72406389,-80.28014077
126,25.72398776,-80.28017473
127,25.72397068,-80.28014077
128,25.724034,-80.28009496
129,25.7241393,-80.28000809
130,25.72412223,-80.28017315
131,25.7242197,-80.28005232
132,25.72395218,-80.28007759
133,25.72402262,-80.28017157
137,25.72406816,-80.28003494
138,25.72411013,-80.2801305
140,25.72418057,-80.28007759
142,25.72398064,-80.28003968
143,25.72416421,-80.28001125
144,25.72405677,-80.28020869
145,25.72415936,-80.27979279
146,25.72417643,-80.27986228
148,25.72423335,-80.27991994
149,25.72437494,-80.27977699
150,25.7244283,-80.27965853
151,25.72433936,-80.27989466
152,25.72423478,-80.27968854
153,25.72410315,-80.27989151
154,25.72437707,-80.27988124
155,25.72419707,-80.27973119
156,25.72414797,-80.27973276
159,25.72435786,-80.27968854
160,25.72426964,-80.27979042
161,25.72446031,-80.27969644
162,25.72434505,-80.27983148
163,25.72441264,-80.27970355
164,25.72434719,-80.27974145
165,25.72421201,-80.27985044
166,25.72424,-80.27984707
167,25.72414513,-80.27988361
168,25.72430735,-80.27993336
169,25.7243045,-80.27997285
170,25.72429169,-80.27999259
171,25.72432229,-80.27957008
172,25.72429596,-80.27980858
173,25.72444641,-80.27977071
174,25.72433563,-80.27963848
175,25.72427569,-80.27965196
177,25.72425975,-80.27993831
179,25.72432728,-80.27969575
180,25.72421575,-80.27979261
181,25.72427872,-80.27960227
182,25.7244082,-80.27984139
183,25.72428707,-80.27990799
184,25.72441378,-80.27979177
185,25.72451621,-80.27958627
186,25.7244722,-80.27947931
187,25.72463002,-80.27958121
189,25.72465051,-80.27949194
190,25.72450938,-80.27945404
191,25.72454959,-80.2794692
192,25.72442137,-80.27948689
193,25.72461561,-80.27951131
194,25.72450635,-80.27952563
195,25.72441985,-80.27954163
196,25.72444868,-80.27958711
197,25.72441454,-80.27939087
198,25.72450255,-80.27964522
199,25.72459588,-80.27961069
200,25.72447296,-80.27960058
201,25.7245678,-80.27965364
203,25.72444641,-80.27946499
204,25.72423699,-80.27943888
205,25.72414974,-80.27946414
209,25.72435308,-80.27945151
210,25.72433639,-80.27941614
211,25.72419526,-80.27962838
212,25.72437053,-80.2795071
213,25.72429617,-80.27952057
214,25.72427948,-80.27947931
215,25.72421499,-80.2794852
216,25.7241376,-80.27958711
217,25.72417326,-80.27954331
219,25.72425292,-80.27954752
220,25.72415125,-80.27964943
221,25.72423016,-80.279593
222,25.72415353,-80.27953573
223,25.7239784,-80.27977955
224,25.72410155,-80.27981467
225,25.72402364,-80.27980482
226,25.7239728,-80.27973155
227,25.72408662,-80.27973239
228,25.72406082,-80.27969954
229,25.72405778,-80.27976355
230,25.72407979,-80.27963975
231,25.72395915,-80.27991673
232,25.72399129,-80.27960266
233,25.72384078,-80.27975587
235,25.72405096,-80.2798662
236,25.72388176,-80.27973734
237,25.72393701,-80.27997009
238,25.72388975,-80.27996061
239,25.72394321,-80.27954363
241,25.72389997,-80.27978956
242,25.72394777,-80.27964301
244,25.7239986,-80.2799142
245,25.723945,-80.27994009
246,25.72385216,-80.27989315
247,25.72378539,-80.27982998
249,25.72373076,-80.27988641
250,25.72380057,-80.27987799
251,25.72385899,-80.27981735
254,25.72396748,-80.27988987
256,25.72370876,-80.27990241
258,25.72391818,-80.27973144
259,25.7238199,-80.28005697
260,25.72363097,-80.28006792
261,25.72378955,-80.28006287
262,25.72356648,-80.28009151
263,25.72373568,-80.28007971
264,25.72357179,-80.27998117
265,25.72361907,-80.27999218
266,25.72363553,-80.28016478
267,25.72380169,-80.28012182
268,25.72365298,-80.28009066
269,25.72360669,-80.28003171
270,25.72359455,-80.28005782
271,25.72357938,-80.28002076
273,25.72366891,-80.27993906
274,25.72382597,-80.28025068
275,25.72390109,-80.28006624
276,25.72352702,-80.28002581
277,25.72390564,-80.28012435
278,25.72367043,-80.2800275
279,25.72380473,-80.28016309
280,25.72342459,-80.2800595
282,25.72346177,-80.28002244
283,25.72347846,-80.28012351
285,25.72362111,-80.27996601
286,25.72371368,-80.28014541
287,25.72375996,-80.28014878
288,25.72383735,-80.28014456
289,25.72344811,-80.28009572
290,25.72349819,-80.28010414
291,25.72366889,-80.28056073
292,25.72351607,-80.28038658
293,25.72339323,-80.28041715
294,25.72326106,-80.28044986
295,25.7231408,-80.28075865
296,25.72360711,-80.28058526
297,25.72376302,-80.28059693
298,25.72356298,-80.28061805
299,25.7233531,-80.28036812
301,25.72310532,-80.28074843
302,25.72313141,-80.28073264
303,25.72306857,-80.28077081
304,25.7236293,-80.28065121
305,25.72336377,-80.28073659
306,25.72347168,-80.28035379
307,25.72374543,-80.28060373
308,25.72330158,-80.28040397
309,25.72341554,-80.28038896
310,25.72348917,-80.28069214
311,25.72344118,-80.28040721
312,25.72347828,-80.28062134
313,25.72328849,-80.28039081
314,25.72372968,-80.28060065
315,25.72342694,-80.28064206
316,25.72344794,-80.28064465
317,25.72326087,-80.28041026
318,25.72349321,-80.28036766
319,25.72337249,-80.28070077
320,25.72343555,-80.28036552
321,25.72328936,-80.28073531
322,25.72326748,-80.28072991
323,25.72323831,-80.2807488
324,25.72323558,-80.28038952
325,25.72341454,-80.28068674
326,25.72335013,-80.28042232
327,25.72325168,-80.28077578
328,25.72321644,-80.28077038
329,25.72354726,-80.28034769
330,25.72329185,-80.28044392
331,25.7234888,-80.28039199
332,25.7234572,-80.28069985
333,25.72306087,-80.28079499
334,25.7235446,-80.28037694
335,25.72325077,-80.28070917
336,25.72317504,-80.280773
337,25.7234348,-80.28071984
338,25.72334588,-80.28075437
339,25.72330234,-80.28077201
340,25.72335436,-80.2803961
341,25.72334294,-80.28070324
342,25.72329316,-80.28041853
343,25.7230532,-80.28073801
344,25.72377308,-80.28057865
347,25.72354132,-80.28064543
349,25.72340117,-80.2806515
351,25.72331025,-80.28067957
352,25.72350372,-80.28066364
353,25.72332871,-80.28073573
354,25.72331914,-80.28072207
355,25.72351739,-80.28033657
356,25.72377786,-80.28055892
357,25.72318104,-80.28071903
358,25.72305662,-80.28076077
359,25.72313797,-80.28079871
360,25.72307302,-80.28074256
361,25.72346817,-80.28066516
362,25.72308875,-80.2807843
363,25.72335674,-80.28067578
364,25.72329316,-80.28036996
365,25.72320428,-80.28071145
366,25.72310105,-80.28080327
367,25.72358371,-80.2806386
368,25.72322138,-80.28046178
369,25.72332724,-80.28015021
370,25.72334765,-80.28018557
371,25.72321971,-80.28022978
372,25.72338001,-80.28008224
373,25.72329937,-80.28030327
374,25.72331729,-80.28008556
375,25.72322419,-80.28036185
376,25.72321872,-80.28013418
377,25.72313907,-80.28024746
378,25.72326054,-80.28034416
379,25.72318586,-80.28023199
380,25.72315649,-80.28023531
381,25.72327989,-80.28005534
382,25.72317342,-80.28026625
383,25.72320528,-80.28008722
384,25.7232695,-80.28030714
385,25.72330783,-80.28005959
386,25.72328244,-80.28015076
387,25.72318835,-80.28032151
388,25.72329638,-80.28009827
389,25.72328941,-80.28025575
391,25.72322519,-80.28032593
392,25.72311916,-80.28008058
394,25.72311916,-80.28019331
395,25.72317392,-80.28033311
396,25.72316495,-80.2802983
397,25.72333073,-80.28006566
398,25.72314106,-80.28013584
400,25.72312513,-80.28011319
401,25.72339992,-80.28011208
402,25.72328493,-80.28007782
403,25.72331729,-80.28006843
404,25.72330633,-80.28013087
405,25.72324311,-80.28011982
406,25.7233148,-80.28017673
407,25.72335562,-80.28007009
408,25.72314753,-80.2800723
409,25.72325157,-80.28022094
412,25.72334865,-80.280106
413,25.72328692,-80.28023752
414,25.72304233,-80.27976182
415,25.72290154,-80.27976268
416,25.72286654,-80.27974627
417,25.72283238,-80.279634
418,25.72297093,-80.27993868
419,25.72294952,-80.27995802
420,25.7229092,-80.27988342
421,25.72290123,-80.28000056
422,25.72292065,-80.27981545
424,25.72310086,-80.27973754
425,25.72312525,-80.27976296
426,25.72315163,-80.27979114
427,25.72318001,-80.27981711
428,25.72320391,-80.27983866
429,25.72322631,-80.27986242
430,25.72324722,-80.27988287
431,25.72284299,-80.27965576
432,25.72285444,-80.27964912
433,25.72286041,-80.27963918
435,25.7227494,-80.27976461
436,25.72279669,-80.27982927
438,25.72275288,-80.27985082
439,25.72271604,-80.27979832
440,25.7230446,-80.27995967
